59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,buy one get one free,10-31-10,3,2,Redemption
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,3,3,Hit
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,1,2,Redemption
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,3,2,Hit
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,3,4,Redemption
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,3,2,Redemption
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,3,10,Hit
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,8,2,Hit
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,5,5,Hit
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,3,7,Redemption
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,2,2,Redemption
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,5,10,Hit
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,6,2,Redemption
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,7,25,Redemption
59634ff8ba6b33aac0ba3f738e9e55851d22f690,iphoneos2.2.1,iphone,free,10-31-10,3,2,Redemption
967d9ed1bda45e4a586e13986ee0d561acd5c592,android1.1,t-mobileg1,percent,2009-04-02,5,2,Hit
a06761095f0dc4de0455c05e5be0b2131bb17a53,android1.0,t-mobileg1,percent,2009-04-02,8,5,Redemption
a06761095f0dc4de0455c05e5be0b2131bb17a53,android1.0,t-mobileg1,dollar,2009-04-02,1,2,Hit
a06761095f0dc4de0455c05e5be0b2131bb17a53,android1.0,t-mobileg1,free,2009-04-02,5,4,Redemption
